pair,1,2,3,4,5,6,7
AUD_CAD,0.2626700373179247,0.40047961630695444,0.6809572749963294,0.7222222222222223,0.45354777672658464,0.5860237596086653,0.5865091463414636
AUD_CHF,0.3139592647789369,0.37589531680440774,0.4264044943820225,0.40638036809815953,0.3106308411214953,0.4122362869198312,0.11956521739130437
AUD_JPY,0.6747183834630124,0.31399747793190413,0.650031746031746,0.43728857663283893,0.38513903311411096,0.37520729684908793,0.6351706036745406
AUD_NZD,0.4355072463768116,0.6879933030375509,0.6696665512864891,0.35596026490066224,0.27898550724637683,0.5689806128830519,0.4171856978085351
AUD_USD,0.5938375350140056,0.19332582371163054,0.4607123679971362,0.6253521126760563,0.5807950438822922,0.7662946428571429,0.2697039600153787
CAD_CHF,0.43727329580988117,0.5182091546942866,0.2635442666275143,0.6630471099231541,0.5613053613053613,0.7038851351351351,
CAD_JPY,0.6756465517241379,0.5777877697841727,0.53276740237691,0.49940968122786306,0.5135571708780432,0.5476190476190477,0.6951438848920863
CHF_JPY,0.37169117647058825,0.44924988279418654,0.7569444444444445,0.4666357738646896,0.6067219554779573,0.6262220436587652,0.5800059154096421
EUR_AUD,0.5848535102266446,0.5602787456445992,0.695293862502711,0.38993350149048384,0.20615911035072712,0.5188172043010753,0.5218978102189781
EUR_CAD,0.4674107142857143,0.41261990407673865,0.4725302419354839,0.5529534218058808,0.4289772727272727,0.5473958333333333,0.6188466947960618
EUR_CHF,0.5937226277372263,0.3756696428571429,0.6017992424242423,0.7707900207900208,0.4323744096178617,0.5817805383022774,0.5963182117028271
EUR_GBP,0.6935483870967741,0.28310973512211907,0.7152235427277872,0.6603623649078195,0.7586431833007176,0.5074858027878162,0.6743801652892563
EUR_JPY,0.560765879385462,0.5804843304843306,0.6296296296296295,0.4694829760403532,0.56605122096486,0.6052563101743429,0.34545454545454546
EUR_NZD,0.6201117318435754,0.6726280339101149,0.6807506053268765,0.19595238095238093,0.19174107142857144,0.5220493624985378,0.7606537530266344
EUR_USD,0.659903381642512,0.4567587209302326,0.2724483204134367,0.3020088525706503,0.3677083333333333,0.5032894736842105,0.6736162090735573
GBP_AUD,0.4788786482334869,0.5450599657338664,0.4843104872006606,0.34824172072379656,0.14035087719298248,0.5741293532338309,0.7542584871947587
GBP_CAD,0.704131976564909,0.4720528455284553,0.22214734950584006,0.46157593472171476,0.4708303928487415,0.4349564808280405,0.6362068965517241
GBP_CHF,0.5843457943925233,0.5694444444444444,0.3445209409064831,0.4162946428571428,0.4697936210131332,0.6725067385444744,0.9229166666666666
GBP_JPY,0.5879563774300617,0.400452023833984,0.38207547169811323,0.5719052001840773,0.6721064814814814,0.44558718010045445,0.5815982853643601
GBP_NZD,0.5963726884779517,0.3771420674405749,0.1489071038251366,0.3499765037593985,0.2025243832472748,0.5415887850467289,0.7421016483516484
GBP_USD,0.46737637362637363,0.6377923976608187,0.17733627667402502,0.3224674589700056,0.6015408691465028,0.2022985664854177,0.5203671830177854
NZD_CAD,0.4917087238644557,0.39108796296296294,0.4655720338983051,0.5528836754643207,0.3131534787659739,0.7317952415284787,0.5106169871794871
NZD_CHF,0.23272727272727273,0.1821266968325792,0.5480584390618992,0.5310211946050096,0.478109394959935,0.4745508982035928,0.14247311827956988
NZD_JPY,0.7692012288786482,0.4786226318484383,0.574502487562189,0.49897470950102535,0.48347107438016523,0.25418948067031694,0.6129032258064516
NZD_USD,0.47034047034047033,0.35926222935044105,0.6724022719679251,0.36873248209280596,0.6119465329991646,0.4584459459459459,0.3661740558292283
USD_CAD,0.440078201368524,0.5745812584880036,0.5253968253968254,0.5974702380952381,0.5473790322580645,0.3215277777777778,0.4132334581772784
USD_CHF,0.2977855477855477,0.40118164967562553,0.46603181976541636,0.7735745614035088,0.29544072948328265,0.42535857716580605,0.6693548387096774
USD_JPY,0.5112865424941408,0.42919313102799345,0.5554540262707025,0.7611771363893605,0.36707988980716255,0.7601497601497602,0.800726392251816
__OVERALL__,0.4523662426812033,0.4496391569013677,0.4854125885504808,0.5217680421924832,0.499174625653782,0.5173006978500458,0.5731939858308189
